Season,short_name,long_name,age,dob,height_cm,weight_kg,club_name,league_name,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,release_clause_eur,nation_position,nation_jersey_number,previous_edition_overall,long_name1,club_name1
2015/16,A. Vidal,Arturo Erasmo Vidal Pardo,29,1987-05-22,180,75,FC Bayern München,German 1. Bundesliga,87,87,41500000.0,180000.0,"CM, CDM",Right,,CM,8.0,86.0,Arturo Erasmo Vidal Pardo,FC Bayern Munchen
2015/16,Á. Di María,Ángel Fabián Di María Hernández,28,1988-02-14,180,75,Paris Saint-Germain,French Ligue 1,87,87,45000000.0,170000.0,"RW, CM, CAM",Left,,LW,7.0,85.0,Angel Fabian Di Maria Hernandez,Paris Saint-Germain
2015/16,L. Bonucci,Leonardo Bonucci,29,1987-05-01,190,86,Juventus,Italian Serie A,87,87,34000000.0,180000.0,CB,Right,,CB,19.0,83.0,Leonardo Bonucci,Juventus
2015/16,A. Sánchez,Alexis Alejandro Sánchez Sánchez,27,1988-12-19,169,62,Arsenal,English Premier League,87,87,46500000.0,200000.0,"LW, LM, RW",Right,,LW,7.0,86.0,Alexis Alejandro Sanchez Sanchez,Arsenal
2015/16,Sergio Busquets,Sergio Busquets i Burgos,27,1988-07-16,189,76,FC Barcelona,Spain Primera Division,87,88,41500000.0,225000.0,CDM,Right,,CDM,5.0,86.0,Sergio Busquets i Burgos,FC Barcelona
2015/16,T. Müller,Thomas Müller,26,1989-09-13,186,75,FC Bayern München,German 1. Bundesliga,87,88,52500000.0,190000.0,"CF, RW, CAM, ST",Right,,RM,13.0,86.0,Thomas Muller,FC Bayern Munchen
2015/16,D. Alaba,David Olatukunbo Alaba,24,1992-06-24,180,76,FC Bayern München,German 1. Bundesliga,87,90,48000000.0,140000.0,"LB, CB, CM",Left,,RDM,8.0,85.0,David Olatukunbo Alaba,FC Bayern Munchen
2015/16,J. Rodríguez,James David Rodríguez Rubio,24,1991-07-12,180,75,Real Madrid CF,Spain Primera Division,87,92,61000000.0,225000.0,"CAM, CM, RM",Left,,LAM,10.0,87.0,James David Rodriguez Rubio,Real Madrid CF
2015/16,J. Oblak,Jan Oblak,23,1993-01-07,186,87,Atlético de Madrid,Spain Primera Division,87,91,50500000.0,60000.0,GK,Right,,SUB,1.0,81.0,Jan Oblak,Atletico de Madrid
2015/16,A. Barzagli,Andrea Barzagli,35,1981-05-08,187,87,Juventus,Italian Serie A,86,86,6500000.0,120000.0,CB,Right,,RCB,15.0,84.0,Andrea Barzagli,Juventus
2015/16,V. Kompany,Vincent Jean Mpoy Kompany,30,1986-04-10,192,85,Manchester City,English Premier League,86,86,28000000.0,200000.0,CB,Right,,CB,3.0,85.0,Vincent Jean Mpoy Kompany,Manchester City
2015/16,Santi Cazorla,Santiago Cazorla González,31,1984-12-13,168,66,Arsenal,English Premier League,86,86,33500000.0,190000.0,"CAM, CM, CDM",Right,,,,85.0,Santiago Cazorla Gonzalez,Arsenal
2015/16,Piqué,Gerard Piqué Bernabéu,29,1987-02-02,193,85,FC Barcelona,Spain Primera Division,86,86,29500000.0,250000.0,CB,Right,,RCB,3.0,85.0,Gerard Pique Bernabeu,FC Barcelona
2015/16,F. Ribéry,Franck Bilal Ribéry,33,1983-04-07,170,72,FC Bayern München,German 1. Bundesliga,86,86,24000000.0,170000.0,LM,Right,,,,87.0,Franck Bilal Ribery,FC Bayern Munchen
2015/16,Cesc Fàbregas,Francesc Fàbregas i Soler,29,1987-05-04,175,74,Chelsea,English Premier League,86,86,36000000.0,225000.0,"CM, CAM",Right,,,,87.0,Francesc Fabregas i Soler,Chelsea
2015/16,Miranda,João Miranda de Souza Filho,31,1984-09-07,186,78,Inter,Italian Serie A,86,86,25500000.0,110000.0,CB,Right,,RCB,3.0,84.0,Joao Miranda de Souza Filho,Inter
2015/16,B. Matuidi,Blaise Matuidi,29,1987-04-09,175,70,Paris Saint-Germain,French Ligue 1,86,86,29500000.0,140000.0,"CDM, CM",Left,,LCM,14.0,84.0,Blaise Matuidi,Paris Saint-Germain
2015/16,C. Marchisio,Claudio Marchisio,30,1986-01-19,180,71,Juventus,Italian Serie A,86,86,35000000.0,190000.0,"CM, CDM",Right,,,,84.0,Claudio Marchisio,Juventus
2015/16,Marcelo,Marcelo Vieira da Silva Júnior,28,1988-05-12,174,75,Real Madrid CF,Spain Primera Division,86,86,30000000.0,250000.0,LB,Left,,SUB,16.0,83.0,Marcelo Vieira da Silva Junior,Real Madrid CF
2015/16,D. Payet,Dimitri Payet,29,1987-03-29,175,77,West Ham United,English Premier League,86,86,36000000.0,200000.0,"LM, CAM",Right,,LW,8.0,81.0,Dimitri Payet,West Ham United
2015/16,P. Aubameyang,Pierre-Emerick Emiliano François Aubameyang,27,1989-06-18,187,80,Borussia Dortmund,German 1. Bundesliga,86,87,45000000.0,120000.0,"ST, RM",Right,,,,82.0,Pierre-Emerick Emiliano Francois Aubameyang,Borussia Dortmund
2015/16,Jordi Alba,Jordi Alba Ramos,27,1989-03-21,170,68,FC Barcelona,Spain Primera Division,86,87,35500000.0,225000.0,LB,Left,,LB,18.0,84.0,Jordi Alba Ramos,FC Barcelona
2015/16,B. Leno,Bernd Leno,24,1992-03-04,190,83,Bayer 04 Leverkusen,German 1. Bundesliga,86,89,42500000.0,60000.0,GK,Right,,SUB,12.0,84.0,Bernd Leno,Bayer 04 Leverkusen
2015/16,J. Mascherano,Javier Alejandro Mascherano,32,1984-06-08,174,73,FC Barcelona,Spain Primera Division,85,85,19500000.0,200000.0,"CB, CDM",Right,,LCM,14.0,83.0,Javier Alejandro Mascherano,FC Barcelona
2015/16,Dani Alves,Daniel Alves da Silva,33,1983-05-06,172,70,Juventus,Italian Serie A,85,85,14000000.0,140000.0,RB,Right,,RB,2.0,84.0,Daniel Alves da Silva,Juventus
2015/16,S. Mandanda,Steve Mandanda,31,1985-03-28,185,82,Crystal Palace,English Premier League,85,85,26000000.0,90000.0,GK,Right,,GK,16.0,83.0,Steve Mandanda,Crystal Palace
2015/16,Filipe Luís,Filipe Luís Kasmirski,30,1985-08-09,182,77,Atlético de Madrid,Spain Primera Division,85,85,23500000.0,80000.0,LB,Left,,LB,6.0,82.0,Filipe Luis Kasmirski,Atletico de Madrid
2015/16,L. Koscielny,Laurent Koscielny,30,1985-09-10,186,75,Arsenal,English Premier League,85,85,24000000.0,150000.0,CB,Right,,LCB,21.0,83.0,Laurent Koscielny,Arsenal
2015/16,S. Ruffier,Stéphane Ruffier,29,1986-09-27,188,90,AS Saint-Étienne,French Ligue 1,85,85,28500000.0,50000.0,GK,Right,,,,83.0,Stephane Ruffier,AS Saint-Etienne
2015/16,M. Hamšik,Marek Hamšík,28,1987-07-27,183,79,Napoli,Italian Serie A,85,85,32000000.0,110000.0,CM,Right,,,,83.0,Marek Hamsik,Napoli
2015/16,C. Bravo,Claudio Andrés Bravo Muñoz,33,1983-04-13,184,80,Manchester City,English Premier League,85,85,24000000.0,140000.0,GK,Right,,GK,1.0,83.0,Claudio Andres Bravo Munoz,Manchester City
2015/16,E. Cavani,Edinson Roberto Cavani Gómez,29,1987-02-14,184,71,Paris Saint-Germain,French Ligue 1,85,85,32500000.0,140000.0,"ST, LW",Right,,LS,21.0,85.0,Edinson Roberto Cavani Gomez,Paris Saint-Germain
2015/16,Diego Costa,Diego da Silva Costa,27,1988-10-07,188,85,Chelsea,English Premier League,85,86,38500000.0,200000.0,ST,Right,,SUB,19.0,86.0,Diego da Silva Costa,Chelsea
2015/16,M. Pjanić,Miralem Pjanić,26,1990-04-02,180,74,Juventus,Italian Serie A,85,87,39000000.0,160000.0,CM,Right,,,,84.0,Miralem Pjanic,Juventus
2015/16,Willian,Willian Borges da Silva,27,1988-08-09,175,75,Chelsea,English Premier League,85,85,33000000.0,190000.0,"RM, CAM",Right,,RW,19.0,82.0,Willian Borges da Silva,Chelsea
2015/16,T. Alderweireld,Toby Alderweireld,27,1989-03-02,186,81,Tottenham Hotspur,English Premier League,85,86,31000000.0,130000.0,CB,Right,,RCB,2.0,81.0,Toby Alderweireld,Tottenham Hotspur
2015/16,N. Gaitán,Osvaldo Nicolás Fabián Gaitán,28,1988-02-23,173,68,Atlético de Madrid,Spain Primera Division,85,85,32000000.0,90000.0,LM,Left,,SUB,20.0,83.0,Osvaldo Nicolas Fabian Gaitan,Atletico de Madrid
2015/16,İ. Gündoğan,İlkay Gündoğan,25,1990-10-24,180,80,Manchester City,English Premier League,85,87,39000000.0,180000.0,"CM, CDM",Right,,,,82.0,Ilkay Gundogan,Manchester City
2015/16,Coutinho,Philippe Coutinho Correia,24,1992-06-12,171,68,Liverpool,English Premier League,85,89,44000000.0,140000.0,"CAM, LW, CM",Right,,CAM,11.0,84.0,Philippe Coutinho Correia,Liverpool
2015/16,J. Pastore,Javier Matías Pastore,27,1989-06-20,187,78,Paris Saint-Germain,French Ligue 1,85,86,36500000.0,130000.0,"CM, LW, RW",Right,,,,84.0,Javier Matias Pastore,Paris Saint-Germain
2015/16,N. Otamendi,Nicolás Hernán Gonzalo Otamendi,28,1988-02-12,183,81,Manchester City,English Premier League,85,85,26000000.0,180000.0,CB,Right,,RCB,17.0,84.0,Nicolas Hernan Gonzalo Otamendi,Manchester City
2015/16,H. Mkhitaryan,Henrikh Mkhitaryan,27,1989-01-21,177,75,Manchester United,English Premier League,85,85,33000000.0,170000.0,"RM, LM, CAM",Right,,,,81.0,Henrikh Mkhitaryan,Manchester United
2015/16,K. Navas,Keylor Navas Gamboa,29,1986-12-15,185,78,Real Madrid CF,Spain Primera Division,85,85,28500000.0,170000.0,GK,Right,,,,79.0,Keylor Navas Gamboa,Real Madrid CF
2015/16,A. Lacazette,Alexandre Lacazette,25,1991-05-28,175,73,Olympique Lyonnais,French Ligue 1,85,89,43500000.0,70000.0,ST,Right,,,,84.0,Alexandre Lacazette,Olympique Lyonnais
2015/16,M. Verratti,Marco Verratti,23,1992-11-05,165,60,Paris Saint-Germain,French Ligue 1,85,90,44000000.0,110000.0,"CM, CDM",Right,,LCM,10.0,84.0,Marco Verratti,Paris Saint-Germain
2015/16,R. Mahrez,Riyad Mahrez,25,1991-02-21,179,62,Leicester City,English Premier League,85,88,40500000.0,110000.0,"RM, CAM",Left,,,,74.0,Riyad Mahrez,Leicester City
2015/16,P. Dybala,Paulo Bruno Exequiel Dybala,22,1993-11-15,176,73,Juventus,Italian Serie A,85,92,48000000.0,150000.0,"ST, CF",Left,,SUB,22.0,78.0,Paulo Bruno Exequiel Dybala,Juventus
2015/16,J. Terry,John Terry,35,1980-12-07,187,90,Chelsea,English Premier League,84,84,4900000.0,120000.0,CB,Right,,,,85.0,John Terry,Chelsea
2015/16,Y. Touré,Gnégnéri Yaya Touré,33,1983-05-13,189,90,Manchester City,English Premier League,84,84,18000000.0,190000.0,"CM, CDM, CAM",Right,,,,85.0,Gnegneri Yaya Toure,Manchester City
2015/16,José Reina,José Manuel Reina Páez,33,1982-08-31,188,92,Napoli,Italian Serie A,84,84,21000000.0,80000.0,GK,Right,,SUB,23.0,80.0,Jose Manuel Reina Paez,Napoli
2015/16,Xabi Alonso,Xabier Alonso Olano,34,1981-11-25,183,80,FC Bayern München,German 1. Bundesliga,84,84,9000000.0,130000.0,"CDM, CM",Right,,,,84.0,Xabier Alonso Olano,FC Bayern Munchen
2015/16,W. Rooney,Wayne Mark Rooney,30,1985-10-24,176,83,Manchester United,English Premier League,84,84,26500000.0,170000.0,"CAM, ST, CM",Right,,LCM,10.0,86.0,Wayne Mark Rooney,Manchester United
2015/16,Aduriz,Aritz Aduriz Zubeldia,35,1981-02-11,182,78,Athletic Club de Bilbao,Spain Primera Division,84,84,11500000.0,40000.0,ST,Right,,,,82.0,Aritz Aduriz Zubeldia,Athletic Club de Bilbao
2015/16,A. Turan,Arda Turan,29,1987-01-30,177,76,FC Barcelona,Spain Primera Division,84,84,26500000.0,225000.0,"CM, RM, LM",Right,,LM,10.0,83.0,Arda Turan,FC Barcelona
2015/16,J. Hart,Charles Joseph John Hart,29,1987-04-19,196,91,Torino F.C.,Italian Serie A,84,84,24500000.0,60000.0,GK,Right,,GK,1.0,84.0,Charles Joseph John Hart,Torino F.C.
2015/16,H. Ben Arfa,Hatem Ben Arfa,29,1987-03-07,178,74,Paris Saint-Germain,French Ligue 1,84,84,27500000.0,130000.0,"CAM, ST, RM, RW",Left,,,,79.0,Hatem Ben Arfa,Paris Saint-Germain
2015/16,E. Garay,Ezequiel Marcelo Garay,29,1986-10-10,188,77,Valencia CF,Spain Primera Division,84,84,22000000.0,50000.0,CB,Right,,,,83.0,Ezequiel Marcelo Garay,Valencia CF
2015/16,D. Sturridge,Daniel Andre Sturridge,26,1989-09-01,188,76,Liverpool,English Premier League,84,84,31500000.0,180000.0,"ST, RW",Left,,SUB,15.0,83.0,Daniel Andre Sturridge,Liverpool
2015/16,Naldo,Ronaldo Aparecido Rodrigues,33,1982-09-10,198,89,FC Schalke 04,German 1. Bundesliga,84,84,13000000.0,50000.0,CB,Right,,,,85.0,Ronaldo Aparecido Rodrigues,FC Schalke 04
2015/16,Sokratis,Sokratis Papastathopoulos,28,1988-06-09,186,85,Borussia Dortmund,German 1. Bundesliga,84,84,23000000.0,90000.0,CB,Right,,RCB,19.0,83.0,Sokratis Papastathopoulos,Borussia Dortmund
2015/16,Javi Martinez,Javier Martínez Aginaga,27,1988-09-02,190,81,FC Bayern München,German 1. Bundesliga,84,85,26500000.0,130000.0,"CB, CDM",Right,,SUB,4.0,84.0,Javier Martinez Aginaga,FC Bayern Munchen
2015/16,Y. Sommer,Yann Sommer,27,1988-12-17,183,79,Borussia Mönchengladbach,German 1. Bundesliga,84,85,26500000.0,50000.0,GK,Right,,GK,1.0,82.0,Yann Sommer,Borussia Monchengladbach
2015/16,Juan Mata,Juan Manuel Mata García,28,1988-04-28,170,63,Manchester United,English Premier League,84,84,28500000.0,180000.0,"CAM, RM, CM",Left,,SUB,13.0,84.0,Juan Manuel Mata Garcia,Manchester United
2015/16,R. Nainggolan,Radja Nainggolan,28,1988-05-04,176,65,Roma,Italian Serie A,84,84,27500000.0,110000.0,CM,Right,,SUB,4.0,83.0,Radja Nainggolan,Roma
2015/16,É. Banega,Éver Maximiliano David Banega,28,1988-06-29,174,71,Inter,Italian Serie A,84,84,28500000.0,110000.0,CAM,Right,,CAM,19.0,81.0,Ever Maximiliano David Banega,Inter
2015/16,R. Fährmann,Ralf Sebastian Fährmann,27,1988-09-27,196,95,FC Schalke 04,German 1. Bundesliga,84,85,26500000.0,40000.0,GK,Right,,,,81.0,Ralf Sebastian Fahrmann,FC Schalke 04
2015/16,B. Höwedes,Benedikt Höwedes,28,1988-02-29,187,82,FC Schalke 04,German 1. Bundesliga,84,84,23000000.0,60000.0,"CB, RB, LB",Right,,SUB,4.0,83.0,Benedikt Howedes,FC Schalke 04
2015/16,David Luiz,David Luiz Moreira Marinho,29,1987-04-22,189,84,Chelsea,English Premier League,84,84,22000000.0,180000.0,CB,Right,,,,83.0,David Luiz Moreira Marinho,Chelsea
2015/16,Azpilicueta,César Azpilicueta Tanco,26,1989-08-28,178,75,Chelsea,English Premier League,84,84,24000000.0,170000.0,"LB, RB",Right,,SUB,2.0,82.0,Cesar Azpilicueta Tanco,Chelsea
2015/16,Ö. Toprak,Ömer Toprak,26,1989-07-21,187,83,Bayer 04 Leverkusen,German 1. Bundesliga,84,85,27500000.0,80000.0,CB,Right,,,,81.0,Omer Toprak,Bayer 04 Leverkusen
2015/16,A. Ramsey,Aaron Ramsey,25,1990-12-26,177,70,Arsenal,English Premier League,84,87,35000000.0,160000.0,"CM, CDM, RW",Right,,LCM,10.0,82.0,Aaron Ramsey,Arsenal
2015/16,Thiago,Thiago Alcântara do Nascimento,25,1991-04-11,174,70,FC Bayern München,German 1. Bundesliga,84,87,35000000.0,140000.0,"CM, CAM, CDM, LM",Right,,SUB,10.0,83.0,Thiago Alcantara do Nascimento,FC Bayern Munchen
2015/16,C. Smalling,Chris Smalling,26,1989-11-22,192,90,Manchester United,English Premier League,84,85,27500000.0,160000.0,CB,Right,,SUB,12.0,79.0,Chris Smalling,Manchester United
2015/16,C. Eriksen,Christian Dannemann Eriksen,24,1992-02-14,177,71,Tottenham Hotspur,English Premier League,84,88,38000000.0,120000.0,"CAM, LM",Right,,CAM,10.0,83.0,Christian Dannemann Eriksen,Tottenham Hotspur
2015/16,Douglas Costa,Douglas Costa de Souza,25,1990-09-14,170,65,FC Bayern München,German 1. Bundesliga,84,85,33000000.0,140000.0,"LM, RM, CAM",Left,,SUB,18.0,81.0,Douglas Costa de Souza,FC Bayern Munchen
2015/16,Alex Sandro,Alex Sandro Lobo Silva,25,1991-01-26,180,78,Juventus,Italian Serie A,84,87,29500000.0,140000.0,"LB, LM",Left,,,,82.0,Alex Sandro Lobo Silva,Juventus
2015/16,N. Matić,Nemanja Matić,27,1988-08-01,194,84,Chelsea,English Premier League,84,84,24000000.0,170000.0,CDM,Left,,,,84.0,Nemanja Matic,Chelsea
2015/16,M. Götze,Mario Götze,24,1992-06-03,176,75,Borussia Dortmund,German 1. Bundesliga,84,87,37000000.0,80000.0,"CAM, LM, CM",Right,,SUB,19.0,84.0,Mario Gotze,Borussia Dortmund
2015/16,R. Lukaku,Romelu Lukaku Menama,23,1993-05-13,190,94,Everton,English Premier League,84,90,41000000.0,140000.0,ST,Left,,ST,9.0,80.0,Romelu Lukaku Menama,Everton
2015/16,K. Manolas,Konstantinos Manolas,25,1991-06-14,189,83,Roma,Italian Serie A,84,87,30000000.0,90000.0,CB,Right,,LCB,4.0,82.0,Konstantinos Manolas,Roma
2015/16,Koke,Jorge Resurrección Merodio,24,1992-01-08,178,74,Atlético de Madrid,Spain Primera Division,84,88,37000000.0,80000.0,"CM, LM, RM",Right,,RCM,8.0,83.0,Jorge Resurreccion Merodio,Atletico de Madrid
2015/16,G. Krychowiak,Grzegorz Krychowiak,26,1990-01-29,186,85,Paris Saint-Germain,French Ligue 1,84,86,28500000.0,110000.0,CDM,Right,,RCM,10.0,82.0,Grzegorz Krychowiak,Paris Saint-Germain
2015/16,Isco,Francisco Román Alarcón Suárez,24,1992-04-21,176,74,Real Madrid CF,Spain Primera Division,84,88,38000000.0,190000.0,"CAM, CM, RM",Right,,,,84.0,Francisco Roman Alarcon Suarez,Real Madrid CF
2015/16,G. Xhaka,Granit Xhaka,23,1992-09-27,185,82,Arsenal,English Premier League,84,87,36000000.0,140000.0,CM,Left,,LDM,10.0,81.0,Granit Xhaka,Arsenal
2015/16,R. Varane,Raphaël Varane,23,1993-04-25,191,78,Real Madrid CF,Spain Primera Division,84,91,35000000.0,170000.0,CB,Right,,RCB,4.0,82.0,Raphael Varane,Real Madrid CF
2015/16,H. Kane,Harry Kane,22,1993-07-28,188,65,Tottenham Hotspur,English Premier League,84,90,41000000.0,140000.0,ST,Right,,ST,9.0,78.0,Harry Kane,Tottenham Hotspur
2015/16,J. Draxler,Julian Draxler,22,1993-09-20,187,76,VfL Wolfsburg,German 1. Bundesliga,84,87,37000000.0,90000.0,"CAM, LM, RM",Right,,LM,11.0,,Julian Draxler,VfL Wolfsburg
2015/16,C. Bacca,Carlos Arturo Bacca Ahumada,29,1986-09-08,181,77,AC Milan,Italian Serie A,84,84,28500000.0,100000.0,ST,Right,,RS,7.0,82.0,Carlos Arturo Bacca Ahumada,AC Milan
2015/16,André Gomes,André Filipe Tavares Gomes,22,1993-07-30,188,84,FC Barcelona,Spain Primera Division,84,90,39000000.0,190000.0,"CM, LM, CAM, CDM",Right,,SUB,15.0,80.0,Andre Filipe Tavares Gomes,FC Barcelona
