Season_fifa,short_name,age,dob,height_cm,weight_kg,club_name,league_name,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,release_clause_eur,nation_position,nation_jersey_number,previous_edition_overall,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLROL,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
2015/16,L. Modrić,30,1985-09-09,174,65,Real Madrid CF,Spain Primera Division,89,89,54000000.0,325000.0,"CM, CDM",Right,,,,87.0,M,32,2627,31,1,11,5,0,0,2,4,0,2,2,35,10,62,54,21,61,5,46,11,4,49,35,26,44,1986,2184,5,8,200,47,148,1,0,8,3,1,27,7,1,0,0,36,0,2634,0,620,113,1273,2,119,0,327,225,0,0,0,0,4,1,40,33,10,0,0,0,25,7,0,0,0,0,0,0,0,7,5,0,144,6,0,2,1,0,60
2015/16,T. Courtois,24,1992-05-11,199,91,Chelsea,English Premier League,89,93,67500000.0,170000.0,GK,Left,,GK,1.0,86.0,G,23,2020,23,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,252,523,0,7,209,0,8,1,0,0,0,0,0,0,0,0,0,0,0,780,0,18,2,81,0,9,0,281,84,0,0,0,0,0,0,0,0,0,0,0,0,29,5,66,36,29,13,2,2,1,26,21,19,133,0,0,0,0,0,0
2015/16,Iniesta,32,1984-05-11,171,68,FC Barcelona,Spain Primera Division,88,88,39500000.0,325000.0,CM,Right,,LCM,6.0,88.0,M,28,2248,25,3,5,2,0,0,1,2,3,2,0,23,6,27,17,3,32,8,29,1,2,57,40,20,38,1621,1835,3,11,141,41,147,0,0,7,4,1,16,2,0,0,0,32,0,2184,0,637,102,1198,2,134,0,322,109,0,0,0,0,0,0,2,0,8,0,0,0,17,10,0,0,0,0,0,0,0,6,6,0,142,10,0,0,3,0,58
2015/16,G. Buffon,38,1978-01-28,192,91,Juventus,Italian Serie A,88,88,9000000.0,120000.0,GK,Right,,GK,1.0,84.0,G,35,3150,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,591,757,0,3,252,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1005,0,10,1,69,0,2,0,172,69,0,0,0,0,0,0,0,0,0,0,0,0,17,21,73,28,44,10,0,3,1,11,8,2,160,0,0,0,0,0,1
2015/16,P. Čech,34,1982-05-20,196,90,Arsenal,English Premier League,88,88,34000000.0,190000.0,GK,Left,,,,85.0,G,34,3060,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,5,503,853,0,6,315,2,12,2,2,0,0,0,0,0,0,0,0,1,0,1231,0,89,2,232,0,13,0,361,233,0,0,0,0,0,0,0,0,0,0,0,0,31,16,101,53,46,33,0,1,0,33,29,19,279,0,0,0,0,0,2
2015/16,P. Lahm,32,1983-11-11,170,66,FC Bayern München,German 1. Bundesliga,88,88,29500000.0,200000.0,"RB, CDM, CM",Right,,,,87.0,D,26,2199,25,1,5,3,0,0,1,1,0,1,0,10,5,41,24,9,49,5,48,0,4,23,16,10,17,1806,1989,9,26,112,11,74,0,0,8,4,1,2,1,0,0,0,6,0,2345,0,508,60,1086,3,81,0,254,119,0,0,0,0,0,0,0,0,6,0,0,0,11,13,0,0,0,0,0,0,0,19,12,0,82,3,0,3,1,1,19
2015/16,G. Chiellini,31,1984-08-14,187,86,Juventus,Italian Serie A,88,88,34000000.0,225000.0,CB,Left,,LCB,3.0,87.0,D,24,1789,21,3,4,4,1,1,1,0,1,0,0,15,2,56,10,3,11,1,11,0,11,35,21,27,23,1197,1383,3,37,130,11,105,0,0,11,1,0,4,1,1,0,1,4,0,1697,0,166,57,471,1,29,0,243,172,0,0,0,0,0,0,0,0,2,0,0,0,12,9,0,0,0,0,1,0,0,82,66,0,92,1,0,2,2,0,14
2015/16,H. Lloris,29,1986-12-26,188,78,Tottenham Hotspur,English Premier League,88,88,45000000.0,170000.0,GK,Left,,,,85.0,G,37,3330,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,2,0,5,668,1047,0,4,321,0,10,3,2,0,0,0,0,0,0,0,0,0,0,1404,0,45,0,121,0,13,0,395,124,0,0,0,0,0,0,0,0,1,0,0,0,34,13,88,48,39,39,0,2,0,45,38,27,253,0,0,0,0,0,0
2015/16,T. Kroos,26,1990-01-04,182,78,Real Madrid CF,Spain Primera Division,88,90,61000000.0,325000.0,"CM, CDM",Right,,LDM,8.0,87.0,M,32,2745,32,0,7,3,0,0,1,10,0,4,6,20,4,40,118,39,57,5,26,21,2,64,49,34,47,2277,2425,6,10,197,25,146,0,1,1,1,1,19,3,0,0,0,14,0,2870,0,499,120,1300,1,139,0,271,302,0,0,0,0,21,5,113,83,12,0,0,0,31,6,0,0,0,0,0,0,0,11,11,0,233,2,0,0,0,0,33
2015/16,E. Hazard,25,1991-01-07,173,74,Chelsea,English Premier League,88,90,62000000.0,275000.0,"LM, CAM, LW",Right,,LF,10.0,89.0,F,31,2190,25,6,6,2,0,0,4,3,1,3,0,36,14,13,44,9,66,2,63,0,1,21,18,15,70,1218,1415,9,11,122,89,191,0,0,21,7,3,15,7,1,1,0,48,0,1926,0,719,155,1021,0,101,0,403,52,0,0,0,0,2,0,7,3,19,1,0,0,32,3,0,0,0,0,0,0,0,4,3,0,75,3,0,10,1,1,144
2015/16,M. Reus,27,1989-05-31,182,72,Borussia Dortmund,German 1. Bundesliga,88,88,52000000.0,140000.0,"LM, CAM",Right,,,,86.0,F/M,26,1925,24,2,17,2,0,0,12,3,1,3,0,63,28,19,40,8,45,9,35,7,1,25,20,23,29,638,777,2,8,64,32,93,0,0,46,20,11,17,8,1,1,0,28,0,1144,0,286,107,501,0,98,0,279,26,2,1,0,1,11,2,39,20,16,7,3,1,22,2,0,0,0,0,0,0,0,2,1,0,21,3,0,36,10,9,63
2015/16,K. De Bruyne,25,1991-06-28,181,76,Manchester City,English Premier League,88,91,65500000.0,275000.0,"CAM, RM, LM",Right,,RF,7.0,86.0,F/M,25,2003,22,3,4,2,0,0,7,9,1,6,3,49,25,18,181,49,81,8,50,22,0,28,24,16,18,882,1127,13,12,131,36,94,1,0,22,11,5,27,14,2,0,0,35,0,1643,0,484,154,751,1,215,0,497,40,0,0,0,0,6,3,89,75,38,4,3,0,26,5,0,0,0,0,0,0,0,13,11,0,48,6,0,8,2,3,62
2015/16,K. De Bruyne,25,1991-06-28,181,76,Manchester City,English Premier League,88,91,65500000.0,275000.0,"CAM, RM, LM",Right,,RF,7.0,86.0,F/M,2,165,2,0,1,1,0,0,0,0,0,0,0,4,3,2,10,4,1,0,1,0,0,0,0,4,1,71,96,1,0,7,5,6,0,0,3,2,0,1,1,0,0,0,5,0,134,0,27,15,53,0,21,0,44,3,0,0,0,0,0,0,6,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,9
2015/16,A. Griezmann,25,1991-03-21,176,67,Atlético de Madrid,Spain Primera Division,88,92,68500000.0,140000.0,"ST, RW, LW",Left,,RW,7.0,83.0,F/M,38,3058,36,2,16,5,0,0,22,5,1,5,0,92,43,39,32,10,53,10,44,3,3,57,42,31,37,1062,1356,8,56,173,32,179,0,1,59,32,17,33,11,5,0,0,51,0,1945,0,432,256,782,3,93,0,494,48,2,1,0,1,1,0,9,6,24,5,2,2,15,13,0,0,0,0,0,0,0,32,31,0,49,4,0,17,16,12,73
2015/16,P. Pogba,23,1993-03-15,191,84,Manchester United,English Premier League,88,94,71500000.0,225000.0,"CM, CDM, CAM",Right,,RCM,6.0,86.0,M,35,3019,33,2,2,10,0,0,8,12,2,10,2,124,39,47,56,10,54,11,41,1,6,76,55,88,57,1417,1699,7,63,261,102,298,0,1,42,17,6,82,22,2,1,0,83,0,2566,0,474,287,857,5,152,0,606,105,2,1,0,1,1,0,8,7,25,14,2,1,17,18,0,0,0,0,0,0,0,22,21,0,114,9,0,13,5,3,166
2015/16,A. Robben,32,1984-01-23,180,80,FC Bayern München,German 1. Bundesliga,87,87,34000000.0,170000.0,"RM, RW",Left,,RM,11.0,90.0,M,15,1101,14,1,8,1,0,0,4,1,0,1,0,52,18,6,23,9,27,4,19,7,0,4,3,5,13,460,572,4,8,31,26,51,0,0,35,9,3,17,9,1,0,0,12,0,818,0,244,53,374,0,68,0,196,15,1,1,0,0,3,0,21,11,19,0,0,0,6,4,0,0,0,0,0,0,0,2,2,0,19,2,0,11,4,3,53
2015/16,S. Handanovič,31,1984-07-14,193,89,Inter,Italian Serie A,87,87,35500000.0,90000.0,GK,Right,,,,83.0,G,36,3240,36,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,527,761,0,5,298,0,9,1,0,0,0,0,0,0,0,0,0,0,0,1183,0,9,2,88,0,0,0,249,94,0,0,0,0,0,0,0,0,0,0,0,0,34,15,111,69,42,28,1,6,1,21,16,9,191,0,0,0,0,0,1
2015/16,K. Benzema,28,1987-12-19,187,79,Real Madrid CF,Spain Primera Division,87,87,45500000.0,300000.0,ST,Right,,,,86.0,F,27,1993,26,1,16,1,0,0,24,7,0,7,0,98,51,3,20,1,43,9,36,0,0,8,6,16,21,545,669,1,10,36,17,55,0,0,89,48,24,9,3,0,0,0,34,0,984,0,294,95,449,0,59,0,246,36,0,0,0,0,0,0,1,0,18,0,0,0,20,4,0,0,0,0,0,0,0,13,12,0,15,2,0,19,11,20,38
2015/16,I. Rakitić,28,1988-03-10,184,78,FC Barcelona,Spain Primera Division,87,87,43500000.0,275000.0,CM,Right,,,,84.0,M,36,2580,30,6,14,3,0,0,7,2,0,0,2,45,14,51,66,24,33,7,23,8,2,63,38,39,50,1564,1776,8,33,154,13,158,0,0,25,12,6,20,2,1,0,0,17,1,2253,0,437,121,997,2,125,0,339,118,0,0,0,0,2,1,54,43,16,1,0,0,18,7,0,0,0,0,0,0,0,18,16,0,109,7,0,4,4,5,25
2015/16,M. Hummels,27,1988-12-16,191,92,FC Bayern München,German 1. Bundesliga,87,87,37000000.0,160000.0,CB,Right,,LCB,5.0,86.0,D,30,2494,29,1,4,1,0,0,2,2,3,1,1,11,7,76,3,2,7,1,5,0,4,61,47,18,15,2039,2363,2,116,152,23,212,2,0,10,7,2,1,0,0,0,0,10,1,2739,0,240,86,884,2,70,0,392,379,0,0,0,0,0,0,0,0,4,0,0,0,25,12,0,0,0,0,0,0,0,93,75,0,127,1,1,1,2,1,28
2015/16,L. Bonucci,29,1987-05-01,190,86,Juventus,Italian Serie A,87,87,34000000.0,180000.0,CB,Right,,CB,19.0,83.0,D,36,3157,35,1,1,6,0,0,3,1,0,1,0,27,8,82,3,0,15,1,13,1,13,39,28,35,23,1990,2288,0,48,178,17,125,2,2,14,5,3,13,3,0,0,1,5,1,2717,0,172,92,629,13,57,0,354,438,0,0,0,0,0,0,0,0,3,5,0,0,20,18,0,0,0,0,0,0,0,147,127,0,203,2,1,2,1,3,21
2015/16,Sergio Busquets,27,1988-07-16,189,76,FC Barcelona,Spain Primera Division,87,88,41500000.0,225000.0,CDM,Right,,CDM,5.0,86.0,M,35,2906,34,1,10,6,0,0,0,4,2,3,1,6,2,67,2,2,19,8,14,1,4,103,73,30,66,2176,2422,2,59,207,11,234,1,1,2,0,0,4,2,0,0,0,26,0,2841,0,494,125,1187,1,37,0,298,246,0,0,0,0,0,0,0,0,4,0,0,0,25,10,0,0,0,0,0,0,0,26,24,0,165,4,0,1,0,0,11
2015/16,T. Müller,26,1989-09-13,186,75,FC Bayern München,German 1. Bundesliga,87,88,52500000.0,190000.0,"CF, RW, CAM, ST",Right,,RM,13.0,86.0,F/M,31,2343,26,5,10,4,0,0,20,5,1,5,0,94,46,17,32,7,60,11,55,0,1,25,15,24,27,813,1056,7,52,42,37,137,0,1,73,35,20,21,11,0,0,1,35,0,1534,0,420,191,656,2,92,0,414,43,6,5,1,0,0,0,14,0,34,0,0,0,15,8,0,0,0,0,0,0,0,17,13,0,27,1,0,13,9,15,75
2015/16,J. Oblak,23,1993-01-07,186,87,Atlético de Madrid,Spain Primera Division,87,91,50500000.0,60000.0,GK,Right,,SUB,1.0,81.0,G,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,1,1,0,4,331,710,0,8,256,1,12,1,0,0,0,0,0,0,0,0,0,0,0,969,0,22,2,152,0,8,0,391,153,0,0,0,0,0,0,0,0,0,0,0,0,18,24,82,44,37,18,0,1,0,24,19,12,194,0,0,0,0,0,1
2015/16,A. Barzagli,35,1981-05-08,187,87,Juventus,Italian Serie A,86,86,6500000.0,120000.0,CB,Right,,RCB,15.0,84.0,D,31,2739,31,0,2,2,0,0,1,0,0,0,0,4,1,68,14,6,9,0,9,0,10,28,16,7,26,1662,1875,6,34,172,10,95,0,0,1,1,1,3,0,0,0,0,11,0,2237,0,202,50,664,11,35,1,269,257,0,0,0,0,0,0,0,0,0,0,0,0,14,18,0,0,0,0,0,0,0,95,87,0,139,0,0,0,0,1,16
2015/16,Piqué,29,1987-02-02,193,85,FC Barcelona,Spain Primera Division,86,86,29500000.0,250000.0,CB,Right,,RCB,3.0,85.0,D,30,2592,30,0,6,12,0,0,2,1,0,0,1,13,6,54,2,0,6,2,5,0,17,39,34,19,8,1830,2023,0,60,163,8,113,0,1,13,6,2,0,0,0,0,0,12,0,2369,0,173,73,673,5,11,2,239,294,0,0,0,0,0,0,0,0,3,0,0,0,23,10,0,0,0,0,0,0,0,107,86,0,128,0,1,4,4,2,10
2015/16,Miranda,31,1984-09-07,186,78,Inter,Italian Serie A,86,86,25500000.0,110000.0,CB,Right,,RCB,3.0,84.0,D,32,2743,31,1,0,6,1,2,1,3,0,0,3,9,4,66,4,1,7,2,4,0,20,59,40,44,36,1254,1521,1,63,189,12,165,0,2,9,4,1,0,0,0,0,0,9,0,1948,0,99,98,376,7,18,0,322,191,0,0,0,0,0,0,0,0,1,0,0,0,29,12,0,0,0,0,2,0,0,152,125,0,133,0,0,1,0,1,15
2015/16,B. Matuidi,29,1987-04-09,175,70,Paris Saint-Germain,French Ligue 1,86,86,29500000.0,140000.0,"CDM, CM",Left,,LCM,14.0,84.0,M,31,2063,23,8,10,4,0,0,4,6,0,6,0,16,9,46,36,8,28,10,20,0,4,73,54,43,28,1504,1638,8,18,114,21,140,0,0,13,9,4,3,0,0,0,0,34,0,2042,0,262,150,791,6,45,0,278,190,0,0,0,0,0,0,0,0,6,0,0,0,11,9,0,0,0,0,0,0,0,12,10,0,25,6,0,7,1,2,35
2015/16,C. Marchisio,30,1986-01-19,180,71,Juventus,Italian Serie A,86,86,35000000.0,190000.0,"CM, CDM",Right,,,,84.0,M,23,1930,23,0,3,8,0,0,0,2,0,1,1,26,6,65,34,13,22,2,16,4,3,48,35,33,18,1293,1461,4,10,161,20,94,0,0,2,1,0,24,5,0,0,0,15,0,1790,0,307,92,716,2,63,0,240,154,0,0,0,0,7,3,23,18,7,0,0,0,7,15,0,0,0,0,0,0,0,22,14,0,180,1,0,0,0,0,23
2015/16,Marcelo,28,1988-05-12,174,75,Real Madrid CF,Spain Primera Division,86,86,30000000.0,250000.0,LB,Left,,SUB,16.0,83.0,D,30,2474,28,2,3,2,0,0,2,3,0,2,1,19,4,54,122,32,51,5,47,1,5,75,66,16,34,1469,1742,30,5,163,56,170,0,1,12,3,2,7,1,0,0,0,20,0,2549,0,462,119,909,13,180,2,490,145,0,0,0,0,0,0,8,3,31,0,0,0,23,11,0,0,0,0,0,0,0,26,20,0,105,1,0,3,0,1,98
2015/16,Marcelo,28,1988-05-12,174,75,Real Madrid CF,Spain Primera Division,86,86,30000000.0,250000.0,LB,Left,,SUB,16.0,83.0,D,19,1710,19,0,0,4,0,0,1,0,0,0,0,7,3,29,1,0,3,0,3,0,11,25,18,24,5,761,969,0,95,74,1,123,1,1,6,3,1,1,0,0,0,0,1,0,1186,0,50,54,204,2,16,0,253,125,0,0,0,0,0,0,0,0,3,0,0,0,34,3,0,0,0,0,3,0,0,105,72,0,86,0,0,0,0,0,2
2015/16,D. Payet,29,1987-03-29,175,77,West Ham United,English Premier League,86,86,36000000.0,200000.0,"LM, CAM",Right,,LW,8.0,81.0,F/M,30,2571,29,1,6,3,0,0,9,12,0,7,5,69,28,23,290,95,119,16,55,49,0,24,16,13,39,1017,1269,20,2,150,67,132,1,0,23,9,6,46,19,3,0,0,51,0,2018,0,461,148,808,3,378,0,624,46,0,0,0,0,54,18,159,133,39,17,10,2,42,5,0,0,0,0,0,0,0,2,2,0,76,8,0,3,1,5,118
2015/16,Jordi Alba,27,1989-03-21,170,68,FC Barcelona,Spain Primera Division,86,87,35500000.0,225000.0,LB,Left,,LB,18.0,84.0,D,31,2591,29,2,4,2,0,0,0,6,0,6,0,7,2,61,57,6,19,8,13,0,6,53,39,20,17,1798,2063,6,17,169,4,90,0,1,6,2,0,1,0,0,2,0,15,0,2684,0,474,73,1059,16,90,0,411,193,0,0,0,0,0,0,0,0,19,0,0,0,17,13,0,0,0,0,1,0,0,49,41,0,53,3,0,2,2,0,14
2015/16,B. Leno,24,1992-03-04,190,83,Bayer 04 Leverkusen,German 1. Bundesliga,86,89,42500000.0,60000.0,GK,Right,,SUB,12.0,84.0,G,33,2970,33,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,584,932,0,17,334,0,19,4,3,0,0,0,0,0,0,0,0,0,1,1291,0,52,1,203,0,6,0,363,203,0,0,0,0,0,0,0,0,0,0,0,0,38,13,102,71,30,17,0,6,1,31,23,18,247,0,0,0,0,0,0
2015/16,S. Mandanda,31,1985-03-28,185,82,Crystal Palace,English Premier League,85,85,26000000.0,90000.0,GK,Right,,GK,16.0,83.0,G,36,3240,36,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,777,1211,0,11,329,2,14,2,0,0,0,0,0,0,0,0,0,0,0,1560,0,26,4,122,1,7,0,446,125,0,0,0,0,0,0,0,0,0,0,0,0,40,9,95,61,34,26,3,7,1,18,16,13,261,0,0,0,0,0,2
2015/16,Filipe Luís,30,1985-08-09,182,77,Atlético de Madrid,Spain Primera Division,85,85,23500000.0,80000.0,LB,Left,,LB,6.0,82.0,D,32,2834,32,0,0,11,0,1,1,4,1,4,0,8,2,87,115,22,28,2,23,1,7,126,97,29,30,1370,1660,22,42,188,71,268,0,0,4,1,1,4,1,0,0,0,26,0,2800,0,496,153,888,9,128,0,596,154,0,0,0,0,0,0,0,0,28,0,0,0,17,19,0,0,0,0,0,0,0,53,49,0,47,0,1,0,1,0,124
2015/16,L. Koscielny,30,1985-09-10,186,75,Arsenal,English Premier League,85,85,24000000.0,150000.0,CB,Right,,LCB,21.0,83.0,D,33,2846,33,0,2,3,0,0,4,0,0,0,0,19,8,126,3,0,8,1,8,0,27,47,26,31,26,1472,1692,0,104,223,10,186,0,2,18,7,4,1,1,0,0,0,12,0,2218,0,142,113,524,8,13,0,304,284,0,0,0,0,0,0,0,0,2,0,0,0,31,15,0,0,0,0,0,0,0,186,139,0,83,1,0,1,1,3,11
2015/16,S. Ruffier,29,1986-09-27,188,90,AS Saint-Étienne,French Ligue 1,85,85,28500000.0,50000.0,GK,Right,,,,83.0,G,38,3420,38,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,1,1,2,3,604,1078,0,6,338,0,9,2,1,0,0,0,0,0,0,0,0,0,0,1418,0,41,2,171,0,16,0,483,171,0,0,0,0,0,0,0,0,0,0,0,0,37,16,108,70,37,27,0,3,1,33,28,18,262,0,1,0,0,0,0
2015/16,M. Hamšik,28,1987-07-27,183,79,Napoli,Italian Serie A,85,85,32000000.0,110000.0,CM,Right,,,,83.0,M,38,3245,38,0,18,0,0,0,6,11,4,11,0,83,29,24,51,9,94,15,82,0,3,57,43,16,27,2609,3014,8,28,252,38,150,0,2,32,17,5,51,12,1,0,0,56,0,3518,0,853,151,1710,4,153,0,586,198,2,1,1,0,1,0,5,2,18,0,0,0,31,5,0,0,0,0,0,0,0,19,16,0,168,11,0,3,3,4,57
2015/16,M. Pjanić,26,1990-04-02,180,74,Juventus,Italian Serie A,85,87,39000000.0,160000.0,CM,Right,,,,84.0,M,33,2654,30,3,5,10,1,1,10,12,4,9,3,68,28,50,170,44,80,14,45,23,3,47,33,56,41,1835,2161,9,22,169,26,134,0,0,26,13,4,42,15,6,0,0,35,1,2782,0,612,188,1184,3,273,0,559,168,1,1,0,0,30,7,119,91,30,21,7,4,30,3,0,0,0,0,0,0,0,25,25,0,134,10,0,3,5,4,46
2015/16,Willian,27,1988-08-09,175,75,Chelsea,English Premier League,85,85,33000000.0,190000.0,"RM, CAM",Right,,RW,19.0,82.0,F/M,35,2749,32,3,14,5,0,0,5,6,2,3,3,60,20,20,233,52,81,9,43,32,1,42,29,27,67,1236,1500,4,3,177,84,196,1,3,25,9,2,35,11,3,1,1,49,0,2229,0,602,171,952,3,328,0,605,58,0,0,0,0,37,8,137,123,46,17,9,2,40,3,0,0,0,0,0,0,0,5,4,0,101,5,0,3,2,2,126
